FECHA;DEPARTAMENTO;MUNICIPIO;EVENTO;COORDENADAS;FAMILIAS;PERSONAS
1/01/2024;SANTANDER;PIEDECUESTA;INCENDIO FORESTAL;;;
1/01/2024;CUNDINAMARCA;UBAQUE;ACCIDENTE TRANSPORTE TERRESTRE;;;
1/01/2024;RISARALDA;PEREIRA;INCENDIO FORESTAL;;;
1/01/2024;HUILA;PITALITO;INCENDIO ESTRUCTURAL;;;
1/01/2024;CORDOBA;MONTERIA;INCENDIO ESTRUCTURAL;;25;74
1/01/2024;ANTIOQUIA;CAUCASIA;INCENDIO ESTRUCTURAL;;;
1/01/2024;HUILA;PALERMO;MOVIMIENTO EN MASA;;;
1/01/2024;RISARALDA;PUEBLO RICO;CASO FORTUITO;;;
1/01/2024;BOYACA;VENTAQUEMADA;ACCIDENTE TRANSPORTE TERRESTRE;;;
1/01/2024;MAGDALENA;SANTA MARTA;INCENDIO FORESTAL;;;
1/01/2024;BOLIVAR;CALAMAR;DESABASTECIMIENTO DE AGUA;;;
1/01/2024;CASANARE;OROCUE;INCENDIO FORESTAL;;;
1/01/2024;ATLANTICO;SABANAGRANDE;INCENDIO FORESTAL;;;
1/01/2024;ANTIOQUIA;SOPETRAN;INCENDIO FORESTAL;;;
1/01/2024;ANTIOQUIA;SOPETRAN;INCENDIO FORESTAL;;;
1/01/2024;BOYACA;SORACA;INCENDIO FORESTAL;;;
1/01/2024;SANTANDER;PIEDECUESTA;INCENDIO FORESTAL;;;
1/01/2024;ANTIOQUIA;CHIGORODO;INCENDIO FORESTAL;;;
1/01/2024;CORDOBA;CERETE;INCENDIO FORESTAL;;;
1/01/2024;BOYACA;BOYACA;INCENDIO FORESTAL;;;
2/01/2024;CASANARE;YOPAL;INCENDIO FORESTAL;;;
2/01/2024;HUILA;NEIVA;INCENDIO ESTRUCTURAL;;;
2/01/2024;BOYACA;TIBANA;INCENDIO FORESTAL;;;
2/01/2024;VICHADA;PUERTO CARREÑO;INCENDIO FORESTAL;;;
2/01/2024;MAGDALENA;SANTA MARTA;INCENDIO FORESTAL;;;
2/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
2/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
2/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
2/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
2/01/2024;CORDOBA;LORICA;INCENDIO FORESTAL;;;
2/01/2024;META;LEJANIAS;INCENDIO FORESTAL;;;
2/01/2024;ATLANTICO;GALAPA;INCENDIO FORESTAL;;;
2/01/2024;CESAR;AGUACHICA;INCENDIO FORESTAL;;;
2/01/2024;ARAUCA;TAME;INCENDIO FORESTAL;;;
2/01/2024;SANTANDER;GUAPOTA;INCENDIO FORESTAL;;;
2/01/2024;CESAR;AGUACHICA;INCENDIO FORESTAL;;;
2/01/2024;CASANARE;YOPAL;INCENDIO FORESTAL;;;
2/01/2024;HUILA;ISNOS;INCENDIO FORESTAL;;;
2/01/2024;PUTUMAYO;PUERTO LEGUIZAMO;INCENDIO FORESTAL;;;
2/01/2024;VICHADA;PUERTO CARREÑO;INCENDIO FORESTAL;;;
2/01/2024;SANTANDER;BETULIA;INCENDIO FORESTAL;;;
2/01/2024;CORDOBA;CERETE;INCENDIO FORESTAL;;;
3/01/2024;CUNDINAMARCA;FUNZA;CASO FORTUITO;;;
3/01/2024;HUILA;LA PLATA;INCENDIO ESTRUCTURAL;;;
3/01/2024;CAUCA;ROSAS;MOVIMIENTO EN MASA;;;
3/01/2024;CUNDINAMARCA;SAN ANTONIO DEL TEQUENDAMA;INCENDIO ESTRUCTURAL;;;
3/01/2024;NARIÑO;EL CHARCO;EROSION COSTERA;;;
3/01/2024;ANTIOQUIA;BRICEÑO;MOVIMIENTO EN MASA;;;
3/01/2024;SANTANDER;BARICHARA;DESABASTECIMIENTO DE AGUA;;;
3/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
3/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
3/01/2024;PUTUMAYO;COLON;INCENDIO FORESTAL;;;
3/01/2024;BOLIVAR;MARIA LA BAJA;INCENDIO FORESTAL;;;
3/01/2024;BOYACA;TUTA;INCENDIO FORESTAL;;;
3/01/2024;ANTIOQUIA;AMAGA;INCENDIO FORESTAL;;;
3/01/2024;CASANARE;YOPAL;INCENDIO FORESTAL;;;
3/01/2024;MAGDALENA;CIENAGA;INCENDIO FORESTAL;;;
3/01/2024;PUTUMAYO;PUERTO LEGUIZAMO;INCENDIO FORESTAL;;;
3/01/2024;CORDOBA;CERETE;INCENDIO FORESTAL;;;
3/01/2024;CORDOBA;PLANETA RICA;INCENDIO FORESTAL;;;
3/01/2024;CASANARE;VILLANUEVA;INCENDIO FORESTAL;;;
3/01/2024;ATLANTICO;SABANALARGA;INCENDIO FORESTAL;;;
4/01/2024;SANTANDER;FLORIDABLANCA;INCENDIO ESTRUCTURAL;;;
4/01/2024;BOYACA;PUERTO BOYACA;INUNDACION;;;
4/01/2024;BOYACA;TIBANA;INCENDIO FORESTAL;;;
4/01/2024;CUNDINAMARCA;QUETAME;ACCIDENTE TRANSPORTE TERRESTRE;;;
4/01/2024;BOYACA;TIBANA;INCENDIO FORESTAL;;;
4/01/2024;BOYACA;SUTATENZA;INCENDIO FORESTAL;;;
4/01/2024;CALDAS;FILADELFIA;INCENDIO FORESTAL;;;
4/01/2024;BOLIVAR;TIQUISIO;RACIONAMIENTO;;;
4/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
4/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
4/01/2024;SANTANDER;BUCARAMANGA;INCENDIO FORESTAL;;;
4/01/2024;SANTANDER;MACARAVITA;INCENDIO FORESTAL;;;
4/01/2024;PUTUMAYO;COLON;INCENDIO FORESTAL;;;
